Author,Num MLA Entries,Alt Spelling
"Aguilar, Grace",27,
"Aikin, Lucy",11,
"Ainsworth, William Harrison",50,
"Arnold, Edwin Lester",5,
"Austen, Jane",5593,
"Beale, Anne",6,
"Benson, E. F.",21,"Benson, Edward Frederic"
"Besant, Walter",63,
"Blackmore, R. D.",70,"Blackmore, Richard"
"Bloundelle-Burton, John",0,
"Brontë, Anne",446,
"Brontë, Charlotte",2593,
"Brontë, Emily",1440,
"Burnett, Frances Hodgson",191,
"Caine, Hall",13,
"Caird, Mona",38,
"Capes, Bernard",2,
"Carey, Rosa Nouchette",2,
"Carroll, Lewis",1648,
"Charles, Elizabeth",279,
"Cobbold, Richard",1,
"Collingwood, Harry",0,
"Collins, Wilkie",915,
"Conway, Hugh",1,
"Crackanthorpe, Hubert",12,
"Craik, Dinah",66,
"Dickens, Charles",8977,
"Dickens, Mary Angela",0,
"Diehl, Alice",1,
"Disraeli, Benjamin",328,
"Edgeworth, Maria",576,
"Edwards, Annie",2,
"Eliot, George",4408,
"Fullerton, Georgiana",6,
"Gaskell, Elizabeth",1300,
"Godwin, William",787,
"Gould, Nat",0,
"Grand, Sarah",104,
"Grossmith, George",5,
"Hamerton, Philip Gilbert",1,
"Hardman, Frederick",2,
"Hardy, Thomas",4965,
"Henty, G. A.",47,"Henty, George Alfred"
"Herbert, Henry William",14,
"Hewlett, Maurice",11,
"Hocking, Joseph",1,
"Holcroft, Thomas",89,
"Holt, Emily Sarah",0,
"Housman, Clemence",9,
"Housman, Laurence",26,
"Hughes, Thomas",109,
"Hume, Fergus",14,
"Ingelow, Jean",19,
"Jepson, Edgar",3,
"Jerome, Jerome K.",34,
"Kernahan, Coulson",2,
"Kingsley, Charles",276,
"Kingsley, Henry",48,
"Leslie, Emma",0,
"Levy, Amy",77,
"Malet, Lucas",21,
"Watson, H. B. Marriott",0,"Watson, Henry Brereton Marriott"
"Marryat, Florence",37,
"Marryat, Frederick",68,
"Meredith, George",693,
"Merrick, Leonard",6,
"Moodie, Susanna",120,
"Morrison, Arthur",28,
"Newman, John Henry",732,
"Newte, Horace",1,
"Opie, Amelia",67,
"Oppenheim, E. Phillips",5,
"Ouida, ",90,
"Paget, Francis Edward",6,
"Pater, Walter",1018,
"Payn, James",3,
"Peacock, Thomas Love",192,
"Peard, Frances Mary",0,
"Radcliffe, Ann",491,
"Reade, Charles",125,
"Reed, Talbot Baines",3,
"Reynolds, George W. M.",64,
"Roberts, Morley",20,
"Roche, Regina Maria",28,
"Rolfe, Frederick",64,
"Sergeant, Adeline",0,
"Shelley, Mary",2238,
"Soane, George",2,
"Steel, Flora Annie",53,
"Thackeray, William Makepeace",1157,
"Trollope, Anthony",1253,
"Trollope, Thomas Adolphus",3,
"Wells, H. G.",1615,
"Whishaw, Fred",0,
"Whitaker, Evelyn",0,
"Winter, John Strange",4,
"Wiseman, Nicholas",14,
"Zangwill, Israel",84,
"Zangwill, Louis",0,